Cluster0,Cluster1,Agency
-0.001831502,0.998168498,CHT
-0.002242152,0.997757848,GREEN
-0.002487562,0.997512438,CHT
-0.002857143,0.997142857,GREEN
-0.002890173,0.997109827,GREEN
-0.002923977,0.997076023,GREEN
-0.003067485,0.996932515,CHT
-0.003401361,0.996598639,GREEN
-0.003448276,0.996551724,GREEN
-0.003703704,0.996296296,CHT
-0.003703704,0.996296296,GREEN
-0.004132231,0.995867769,NY
-0.004132231,0.995867769,NY
-0.004347826,0.995652174,CHT
-0.004950495,0.995049505,CHT
-0.005592841,0.994407159,CHT
-0.005617978,0.994382022,CHT
-0.005882353,0.994117647,GREEN
-0.006024096,0.993975904,GREEN
-0.00617284,0.99382716,CHT
-0.006329114,0.993670886,CHT
-0.006493506,0.993506494,GREEN
-0.006493506,0.993506494,NY
-0.007042254,0.992957746,NY
-0.007462687,0.992537313,GREEN
-0.007462687,0.992537313,NY
-0.008474576,0.991525424,CHT
-0.00877193,0.99122807,NY
-0.009803922,0.990196078,GREEN
-0.011111111,0.988888889,CHT
-0.017110266,0.982889734,NY
-0.024324324,0.975675676,GREEN
-0.025252525,0.974747475,CHT
-0.028301887,0.971698113,NY
-0.033642691,0.966357309,GREEN
-0.034351145,0.965648855,GREEN
-0.035816619,0.964183381,NY
-0.041401274,0.958598726,CHT
-0.043046358,0.956953642,NY
-0.06097561,0.93902439,NY
-0.064417178,0.935582822,CHT
-0.070532915,0.929467085,CHT
-0.077540107,0.922459893,CHT
-0.078947368,0.921052632,CHT
-0.1,0.9,GREEN
-0.103305785,0.896694215,NY
-0.106837607,0.893162393,CHT
-0.121004566,0.878995434,CHT
-0.122641509,0.877358491,CHT
-0.122754491,0.877245509,NY
-0.128571429,0.871428571,NY
-0.130824373,0.869175627,CHT
-0.14516129,0.85483871,GREEN
-0.148,0.852,CHT
-0.148484848,0.851515152,NY
-0.158031088,0.841968912,GREEN
-0.217557252,0.782442748,CHT
-0.234177215,0.765822785,CHT
-0.26076555,0.73923445,NY
-0.329581994,0.670418006,GREEN
-0.349462366,0.650537634,CHT
-0.351239669,0.648760331,NY
-0.447712418,0.552287582,GREEN
-0.5,0.5,NY
-0.5,0.5,NY
-0.5,0.5,GREEN
-0.542328042,0.457671958,CHT
-0.557971014,0.442028986,GREEN
-0.595238095,0.404761905,GREEN
-0.609243697,0.390756303,NY
-0.62,0.38,CHT
-0.67699115,0.32300885,GREEN
-0.7,0.3,CHT
-0.714765101,0.285234899,GREEN
-0.719178082,0.280821918,NY
-0.734741784,0.265258216,GREEN
-0.795081967,0.204918033,GREEN
-0.795774648,0.204225352,NY
-0.818471338,0.181528662,CHT
-0.829896907,0.170103093,NY
-0.841880342,0.158119658,NY
-0.852517986,0.147482014,CHT
-0.85483871,0.14516129,GREEN
-0.860323887,0.139676113,NY
-0.861344538,0.138655462,NY
-0.86239782,0.13760218,NY
-0.863636364,0.136363636,GREEN
-0.87593985,0.12406015,GREEN
-0.891534392,0.108465608,GREEN
-0.899014778,0.100985222,CHT
-0.902144772,0.097855228,GREEN
-0.903100775,0.096899225,NY
-0.917142857,0.082857143,GREEN
-0.919889503,0.080110497,GREEN
-0.928571429,0.071428571,GREEN
-0.949704142,0.050295858,NY
-0.959459459,0.040540541,NY
-0.964,0.036,GREEN
-0.966666667,0.033333333,GREEN
-0.970588235,0.029411765,GREEN
-0.973684211,0.026315789,NY
-0.97826087,0.02173913,CHT
-0.978991597,0.021008403,NY
-0.98,0.02,NY
-0.984848485,0.015151515,CHT
-0.986486486,0.013513514,NY
-0.988372093,0.011627907,NY
-0.988372093,0.011627907,NY
-0.989795918,0.010204082,NY
-0.989795918,0.010204082,NY
-0.990909091,0.009090909,GREEN
-0.992537313,0.007462687,CHT
-0.992957746,0.007042254,NY
-0.994117647,0.005882353,GREEN
-0.994252874,0.005747126,CHT
-0.994252874,0.005747126,GREEN
-0.995145631,0.004854369,CHT
-0.995867769,0.004132231,CHT
-0.996,0.004,CHT
-0.996124031,0.003875969,NY
-0.996350365,0.003649635,CHT
-0.996732026,0.003267974,NY
-0.996774194,0.003225806,GREEN
-0.996815287,0.003184713,CHT
-0.99689441,0.00310559,CHT
-0.996932515,0.003067485,CHT
-0.997005988,0.002994012,GREEN
-0.997175141,0.002824859,GREEN
-0.997175141,0.002824859,NY
-0.997652582,0.002347418,NY
-0.997835498,0.002164502,CHT
-0.997890295,0.002109705,NY
-0.998316498,0.001683502,NY
